$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┓
┃ Name             ┃ Category         ┃ Source   ┃ Trust    ┃ Status           ┃
│ omh-legal-compl… │ reviewer         │ local    │ local    │ enabled          │
│ omh-localizatio… │ reviewer         │ local    │ local    │ enabled          │
│ omh-native-debu… │ reviewer         │ local    │ local    │ enabled          │
│ omh-production-… │ reviewer         │ local    │ local    │ enabled          │
│ omh-security-sa… │ reviewer         │ local    │ local    │ enabled          │
│ omh-tech-debt-a… │ reviewer         │ local    │ local    │ enabled          │
│ omh-verificatio… │ reviewer         │ local    │ local    │ enabled          │
│ openhue          │ smart-home       │ official │ official │ disabled         │
│ hermes-summary   │ social-media     │ local    │ local    │ enabled          │
│ reddit-reading   │ social-media     │ official │ official │ enabled          │
│ xurl             │ social-media     │ builtin  │ builtin  │ enabled          │
│ codebase-inspec… │ software-develo… │ builtin  │ builtin  │ disabled         │
│ dogfood          │ software-develo… │ builtin  │ builtin  │ disabled         │
│ github           │ software-develo… │ builtin  │ builtin  │ enabled          │
│ hermes-agent-sk… │ software-develo… │ builtin  │ builtin  │ enabled          │
│ inspecting-herm… │ software-develo… │ builtin  │ builtin  │ disabled         │
│ node-inspect-de… │ software-develo… │ builtin  │ builtin  │ disabled         │
│ plan             │ software-develo… │ local    │ local    │ enabled          │
│                  │                  │          │          │ slash command    │
│                  │                  │          │          │ /plan            │
│                  │                  │          │          │ unavailable —    │
│                  │                  │          │          │ name taken by    │
│                  │                  │          │          │ built-in; use    │
│                  │                  │          │          │ /skill plan      │
│ python-debugpy   │ software-develo… │ builtin  │ builtin  │ disabled         │
│ requesting-code… │ software-develo… │ builtin  │ builtin  │ enabled          │
│ simplify-code    │ software-develo… │ builtin  │ builtin  │ disabled         │
│ spike            │ software-develo… │ builtin  │ builtin  │ disabled         │
│ systematic-debu… │ software-develo… │ builtin  │ builtin  │ enabled          │
│ test-driven-dev… │ software-develo… │ builtin  │ builtin  │ enabled          │
│ omh-achievements │ tracker          │ local    │ local    │ enabled          │
│ omh-agent-board  │ tracker          │ local    │ local    │ enabled          │
│ omh-agent-ops-r… │ tracker          │ local    │ local    │ enabled          │
│ omh-buzz         │ tracker          │ local    │ local    │ enabled          │
│ omh-cancel       │ tracker          │ local    │ local    │ enabled          │
│ omh-capability-… │ tracker          │ local    │ local    │ enabled          │
│ omh-context-bud… │ tracker          │ local    │ local    │ enabled          │
│ omh-doctor       │ tracker          │ local    │ local    │ enabled          │
│ omh-harness-ses… │ tracker          │ local    │ local    │ enabled          │
│ omh-instinct-le… │ tracker          │ local    │ local    │ enabled          │
│ omh-model-optim… │ tracker          │ local    │ local    │ enabled          │
│ omh-ops-observa… │ tracker          │ local    │ local    │ enabled          │
│ omh-run-efficie… │ tracker          │ local    │ local    │ enabled          │
│ omh-running-wor… │ tracker          │ local    │ local    │ enabled          │
│ omh-skill        │ tracker          │ local    │ local    │ enabled          │
│ omh-todo-checkl… │ tracker          │ local    │ local    │ enabled          │
│ omh-toolbelt-re… │ tracker          │ local    │ local    │ enabled          │
│ omh-workflow-le… │ tracker          │ local    │ local    │ enabled          │
│ ulw-context      │ ultrawork        │ local    │ local    │ enabled          │
│ ulw-interview    │ ultrawork        │ local    │ local    │ enabled          │
│ ulw-loop         │ ultrawork        │ local    │ local    │ enabled          │
